IT Corporation,,,,,,,,,,,,
Profit and Loss,,,,,,,,,,,,
"1 March-30 June, 2026",,,,,,,,,,,,

,CB/TB,Carol,Colin,Heinz,KP/CM,Kevin,Matt,Matt/TB,SG,Tarryn,Not specified,Total
Income,,,,,,,,,,,,
In - IT Corp,,,,,,,,,,,,
Rental (Firewall X),,,,,,,,,,,"298,505.50","298,505.50"
Total for Firewall,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R298,505.50","R298,505.50"
LTE,,,,,,,,,,,226.20,226.20
LTE Monthly,,,,,,,,,,,"51,548.84","51,548.84"
LTE Router,,,,"4,258.26",,"1,738.26",,,,,,"5,996.52"
LTE Top up,,,,,,,,,,,"1,577.37","1,577.37"
Total for LTE,R0.00,R0.00,R0.00,"R4,258.26",R0.00,"R1,738.26",R0.00,R0.00,R0.00,R0.00,"R53,352.41","R59,348.93"
Mail Security,,,,,,,,,,,"12,603.76","12,603.76"
Reactivation Fee,,,,,,,,,,,-300.00,-300.00
Total for Internet,R0.00,R0.00,R0.00,"R4,258.26",R0.00,"R1,738.26",R0.00,R0.00,R0.00,R0.00,"R649,840.75","R655,837.27"
S/W,,,,,,"12,268.80",,,,,,"12,268.80"
Microsoft Windows,,,,,,,,,,,"2,104.89","2,104.89"
Nable,,,,,,,,,,,,
AV Defender Monthly,,,,,,,,,,,"37,875.20","37,875.20"
Backup - PC/LT,,,,,,,,,,,"32,452.68","32,452.68"
Backup - Server,,,,,,,,,,,"11,898.88","11,898.88"
MSP Backup,,,,,,,,,,,"49,221.20","49,221.20"
MSP Backup Server,,,,,,,,,,,821.30,821.30
Total for Nable,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R132,269.26","R132,269.26"
Total for S/W,R0.00,R0.00,R0.00,R0.00,R0.00,"R12,268.80",R0.00,R0.00,R0.00,R0.00,"R134,374.15","R146,642.95"
Subcontractor,,,,,,,,,,,"4,000.00","4,000.00"
Sub Labour,,,,,,"3,030.00",,,,,"2,925.00","5,955.00"
Sub Travel,,,,,,350.00,,,,,,350.00
Total for Subcontractor,R0.00,R0.00,R0.00,R0.00,R0.00,"R3,380.00",R0.00,R0.00,R0.00,R0.00,"R6,925.00","R10,305.00"
Subscriptons,,,,,,,,,,,"-2,863.82","-2,863.82"
N-Able,,,,,,,,,,,"-7,501.20","-7,501.20"
Repairshopr,,,,,,,,,,,"9,297.71","9,297.71"
Total for Subscriptons,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"-R1,067.31","-R1,067.31"
VOIP,,,,"5,580.00",,,,"2,890.00",,,,"8,470.00"
Calls,,,,,,,,,,,"34,727.88","34,727.88"
Number Port,,,,,,,,,,,650.00,650.00
PBX,,,,,,,,,,,396.00,396.00
Total for VOIP,R0.00,R0.00,R0.00,"R5,580.00",R0.00,R0.00,R0.00,"R2,890.00",R0.00,R0.00,"R35,773.88","R44,243.88"
Total for COGS - IT Corp,"R21,659.13","R14,176.65","R37,001.23","R160,302.80","R4,399.00","R117,826.64",R0.00,"R118,061.30","R271,106.31","R29,720.35","R1,898,248.35","R2,672,501.76"
Cost of sales,,,,,,175.00,,,,,,175.00
Courier Charges,,,,755.00,,330.44,,570.44,"2,557.39",275.65,"1,221.65","5,710.57"
Total for Cost of Sales,"R21,659.13","R14,176.65","R37,001.23","R161,057.80","R4,399.00","R118,332.08",R0.00,"R118,631.74","R273,663.70","R29,996.00","R1,899,470.00","R2,678,387.33"
Gross Profit,"-R12,559.13","-R2,117.65","R9,829.63","R22,987.20","R11,116.50","R50,905.59","R3,000.00","R91,185.26","R128,731.27","R8,636.57","R1,950,843.60","R2,262,558.84"
Other Income(Loss),,,,,,,,,,,,
Interest Income,,,,,,,,,,,39.73,39.73
Recoveries,,,,,,,,,,,"104,096.60","104,096.60"
Total for Other Income(Loss),R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R104,136.33","R104,136.33"
Expenses,,,,,,,,,,,,
3451 Amortisation - Intangible Asset,,,,,,,,,,,"13,466.68","13,466.68"
Accounting Fees,,,,,,,,,,,"18,142.50","18,142.50"
Advertising & Promotion,,,,,,,,,,,"12,485.00","12,485.00"
Bad Debt,,,,,,,,,,,"1,593.90","1,593.90"
Bank Charges,,,,,,,,,,,"11,879.71","11,879.71"
Bank Fees,,,,,,,,,,,"1,796.72","1,796.72"
Total for Bank Charges,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R13,676.43","R13,676.43"
Consulting Fees,,,,,,,,,,,"698,188.91","698,188.91"
Discount Allowed,,,,,,,,300.00,,,"-1,552.43","-1,252.43"
Gifts & Donations,,,,,,,,,,,"25,440.00","25,440.00"
Insurance,,,,,,,,,,,"3,265.04","3,265.04"
Legal Fees,,,,,,,,,,,"1,180.00","1,180.00"
Marketing & Networking,,,,,,,,,,,"35,807.70","35,807.70"
Office Expense,,,,,,,,,,,"21,660.96","21,660.96"
ADSL Expense,,,,,,,,,,,"2,208.21","2,208.21"
Headset,,,,,,,,,,,"1,171.00","1,171.00"
Office Decor,,,,,,,,,,,221.00,221.00
Staff Refreshments,,,,,,,,,,,"8,481.93","8,481.93"
Telephone,,,,,,,,,,,,
Cellphones,,,,,,,,,,,"2,211.95","2,211.95"
"Landlines, DSL & Expense",,,,,,,,,,,274.78,274.78
Phone Expenses,,,,,,,,,,,66.33,66.33
"Total for Landlines, DSL & Expense",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R341.11,R341.11
Total for Telephone,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R2,553.06","R2,553.06"
Total for Office Expense,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R36,296.16","R36,296.16"
Payroll Outsource Costs,,,,,,,,,,,"3,657.41","3,657.41"
Rental (office),,,,,,,,,,,"33,352.19","33,352.19"
Rent,,,,,,,,,,,"60,830.00","60,830.00"
Total for Rental (office),R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R94,182.19","R94,182.19"
Salaries,,,,,,,,,,,"877,113.97","877,113.97"
Gross,,,,,,,,,,,,
Birthday Deductions,,,,,,,,,,,"1,200.00","1,200.00"
Casual,,,,,,,,,,,"1,600.00","1,600.00"
Total for Gross,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R2,800.00","R2,800.00"
Total for Salaries,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R879,913.97","R879,913.97"
Staff Expenses,,,,,,,,,,,"31,422.61","31,422.61"
Subscriptions,,,,,,,,,,,"2,991.40","2,991.40"
Travel & Entertain,,,,,,,,,,,"3,896.77","3,896.77"
Accommodation,,,,,,,,,,,"22,948.63","22,948.63"
Entertainment,,,,,,,,,,,"31,868.04","31,868.04"
Travel,,,,,,,,,,,"4,888.69","4,888.69"
Total for Travel & Entertain,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R63,602.13","R63,602.13"
Vehicle Expenses,,,,,,,,,,,,
Fuel,,,,,,,,,,,"1,112.00","1,112.00"
Colin,,,,,,,,,,,"5,400.00","5,400.00"
Heinz,,,,,,,,,,,"4,500.00","4,500.00"
Kevin,,,,,,,,,,,"4,200.00","4,200.00"
Matt,,,,,,,,,,,"2,400.00","2,400.00"
Total for Fuel,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R17,612.00","R17,612.00"
Parking,,,,,,,,,,,34.50,34.50
Total for Vehicle Expenses,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R17,646.50","R17,646.50"
Total for Expenses,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R300.00,R0.00,R0.00,"R1,951,406.10","R1,951,706.10"
Other Expenses,,,,,,,,,,,,
Income Tax,,,,,,,,,,,"112,047.06","112,047.06"
Rounding Off,,,,,,,,,,,-1.82,-1.82
Total for Other Expenses,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R112,045.24","R112,045.24"
Net Earnings,"-R12,559.13","-R2,117.65","R9,829.63","R22,987.20","R11,116.50","R50,905.59","R3,000.00","R90,885.26","R128,731.27","R8,636.57","-R8,471.41","R302,943.83"



"Accrual Basis Friday, 10 July 2026 06:00 AM GMTZ",,,,,,,,,,,,
